gdate,gender,h_std,a_std,score
2024-10-19,Male,대한항공,OK금융그룹,3:1
2024-10-19,Female,현대건설,흥국생명,1:3
2024-10-20,Male,우리카드,현대캐피탈,2:3
2024-10-20,Female,정관장,GS칼텍스,3:0
2024-10-22,Male,삼성화재,KB손해보험,3:1
2024-10-22,Female,도로공사,페퍼저축은행,0:3
2024-10-23,Male,한국전력,대한항공,3:2
2024-10-23,Female,IBK기업은행,현대건설,1:3
2024-10-24,Female,흥국생명,GS칼텍스,3:0
2024-10-24,Male,OK금융그룹,현대캐피탈,0:3
2024-10-25,Male,KB손해보험,우리카드,1:3
2024-10-25,Female,페퍼저축은행,정관장,2:3
2024-10-26,Male,한국전력,삼성화재,3:2
2024-10-26,Female,도로공사,IBK기업은행,1:3
2024-10-27,Female,GS칼텍스,현대건설,0:3
2024-10-27,Male,현대캐피탈,대한항공,3:2
2024-10-29,Male,OK금융그룹,KB손해보험,3:1
2024-10-29,Female,흥국생명,페퍼저축은행,3:1
2024-10-30,Male,우리카드,한국전력,1:3
2024-10-30,Female,정관장,IBK기업은행,2:3
2024-10-31,Male,대한항공,삼성화재,3:0
2024-10-31,Female,현대건설,도로공사,3:2
2024-11-01,Male,KB손해보험,현대캐피탈,0:3
2024-11-01,Female,페퍼저축은행,GS칼텍스,1:3
2024-11-02,Male,한국전력,OK금융그룹,3:2
2024-11-02,Female,IBK기업은행,흥국생명,0:3
2024-11-03,Male,삼성화재,우리카드,2:3
2024-11-03,Female,도로공사,정관장,0:3
2024-11-05,Female,현대건설,페퍼저축은행,3:1
2024-11-05,Male,대한항공,KB손해보험,3:2
2024-11-06,Male,현대캐피탈,한국전력,2:3
2024-11-06,Female,GS칼텍스,IBK기업은행,2:3
2024-11-07,Male,삼성화재,OK금융그룹,3:0
2024-11-07,Female,도로공사,흥국생명,1:3
2024-11-08,Male,우리카드,대한항공,3:2
2024-11-08,Female,정관장,현대건설,1:3
2024-11-09,Male,KB손해보험,한국전력,3:0
2024-11-09,Female,페퍼저축은행,IBK기업은행,0:3
2024-11-10,Male,현대캐피탈,삼성화재,3:0
2024-11-10,Female,GS칼텍스,도로공사,1:3
2024-11-12,Male,OK금융그룹,우리카드,1:3
2024-11-12,Female,흥국생명,정관장,3:2
2024-11-13,Female,페퍼저축은행,현대건설,0:3
2024-11-13,Male,KB손해보험,대한항공,1:3
2024-11-14,Male,한국전력,현대캐피탈,0:3
2024-11-14,Female,IBK기업은행,GS칼텍스,3:1
2024-11-15,Male,OK금융그룹,삼성화재,0:3
2024-11-15,Female,흥국생명,도로공사,3:1
2024-11-16,Male,대한항공,우리카드,3:1
2024-11-16,Female,현대건설,정관장,3:1
2024-11-17,Male,한국전력,KB손해보험,1:3
2024-11-17,Female,IBK기업은행,페퍼저축은행,3:0
2024-11-19,Male,삼성화재,현대캐피탈,0:3
2024-11-19,Female,도로공사,GS칼텍스,3:1
2024-11-20,Female,정관장,흥국생명,0:3
2024-11-20,Male,우리카드,OK금융그룹,1:3
2024-11-21,Female,현대건설,IBK기업은행,2:3
2024-11-21,Male,대한항공,한국전력,3:0
2024-11-22,Male,KB손해보험,삼성화재,3:1
2024-11-22,Female,페퍼저축은행,도로공사,3:2
2024-11-23,Male,현대캐피탈,우리카드,0:3
2024-11-23,Female,GS칼텍스,정관장,2:3
2024-11-24,Male,OK금융그룹,대한항공,0:3
2024-11-24,Female,흥국생명,현대건설,3:1
2024-11-26,Male,한국전력,삼성화재,1:3
2024-11-26,Female,도로공사,IBK기업은행,0:3
2024-11-27,Male,우리카드,KB손해보험,3:1
2024-11-27,Female,정관장,페퍼저축은행,1:3
2024-11-28,Male,현대캐피탈,OK금융그룹,3:1
2024-11-28,Female,GS칼텍스,흥국생명,1:3
2024-11-29,Female,도로공사,현대건설,1:3
2024-11-29,Male,삼성화재,대한항공,2:3
2024-11-30,Male,한국전력,우리카드,3:0
2024-11-30,Female,IBK기업은행,정관장,0:3
2024-12-01,Male,KB손해보험,OK금융그룹,3:0
2024-12-01,Female,페퍼저축은행,흥국생명,0:3
2024-12-03,Male,대한항공,현대캐피탈,1:3
2024-12-03,Female,현대건설,GS칼텍스,3:0
2024-12-04,Male,우리카드,삼성화재,1:3
2024-12-04,Female,정관장,도로공사,3:0
2024-12-05,Male,OK금융그룹,한국전력,2:3
2024-12-05,Female,흥국생명,IBK기업은행,3:2
2024-12-06,Male,현대캐피탈,KB손해보험,3:0
2024-12-06,Female,페퍼저축은행,GS칼텍스,3:1
2024-12-07,Female,도로공사,정관장,1:3
2024-12-07,Male,삼성화재,우리카드,2:3
2024-12-08,Male,한국전력,대한항공,0:3
2024-12-08,Female,IBK기업은행,현대건설,0:3
2024-12-10,Male,OK금융그룹,KB손해보험,2:3
2024-12-10,Female,흥국생명,페퍼저축은행,3:0
2024-12-11,Male,현대캐피탈,삼성화재,3:2
2024-12-11,Female,GS칼텍스,도로공사,2:3
2024-12-12,Male,우리카드,대한항공,3:2
2024-12-12,Female,정관장,현대건설,3:2
2024-12-13,Male,한국전력,OK금융그룹,1:3
2024-12-13,Female,IBK기업은행,흥국생명,0:3
2024-12-14,Female,페퍼저축은행,GS칼텍스,3:0
2024-12-14,Male,KB손해보험,현대캐피탈,0:3
2024-12-15,Male,대한항공,삼성화재,3:1
2024-12-15,Female,현대건설,도로공사,3:1
2024-12-17,Male,OK금융그룹,우리카드,3:0
2024-12-17,Female,흥국생명,정관장,1:3
2024-12-18,Male,현대캐피탈,한국전력,3:1
2024-12-18,Female,GS칼텍스,IBK기업은행,1:3
2024-12-19,Male,삼성화재,KB손해보험,1:3
2024-12-19,Female,도로공사,페퍼저축은행,3:2
2024-12-20,Male,대한항공,OK금융그룹,3:1
2024-12-20,Female,현대건설,흥국생명,3:0
2024-12-21,Male,우리카드,현대캐피탈,1:3
2024-12-21,Female,정관장,GS칼텍스,3:1
2024-12-22,Female,페퍼저축은행,IBK기업은행,1:3
2024-12-22,Male,KB손해보험,한국전력,3:0
2024-12-24,Female,도로공사,흥국생명,3:0
2024-12-24,Male,삼성화재,OK금융그룹,3:0
2024-12-25,Male,현대캐피탈,대한항공,3:0
2024-12-25,Female,GS칼텍스,현대건설,0:3
2024-12-26,Male,KB손해보험,우리카드,3:1
2024-12-26,Female,페퍼저축은행,정관장,2:3
2024-12-27,Male,삼성화재,한국전력,1:3
2024-12-27,Female,IBK기업은행,도로공사,3:0
2024-12-28,Male,OK금융그룹,현대캐피탈,1:3
2024-12-28,Female,흥국생명,GS칼텍스,3:0
2024-12-29,Male,대한항공,KB손해보험,2:3
2024-12-29,Female,페퍼저축은행,현대건설,3:2
2024-12-31,Male,우리카드,한국전력,3:1
2024-12-31,Female,정관장,IBK기업은행,3:0
2025-01-07,Female,GS칼텍스,흥국생명,3:2
2025-01-07,Male,현대캐피탈,OK금융그룹,3:0
2025-01-08,Male,삼성화재,대한항공,0:3
2025-01-08,Female,도로공사,현대건설,2:3
2025-01-09,Male,한국전력,KB손해보험,1:3
2025-01-09,Female,IBK기업은행,페퍼저축은행,2:3
2025-01-10,Male,현대캐피탈,우리카드,3:0
2025-01-10,Female,GS칼텍스,정관장,2:3
2025-01-11,Male,OK금융그룹,삼성화재,1:3
2025-01-11,Female,흥국생명,도로공사,2:3
2025-01-12,Male,KB손해보험,대한항공,3:2
2025-01-12,Female,현대건설,페퍼저축은행,1:3
2025-01-14,Female,IBK기업은행,정관장,2:3
2025-01-14,Male,한국전력,우리카드,2:3
2025-01-15,Female,도로공사,GS칼텍스,3:2
2025-01-15,Male,삼성화재,현대캐피탈,0:3
2025-01-16,Male,KB손해보험,OK금융그룹,3:2
2025-01-16,Female,페퍼저축은행,흥국생명,2:3
2025-01-17,Male,대한항공,한국전력,3:1
2025-01-17,Female,현대건설,IBK기업은행,3:0
2025-01-18,Male,우리카드,삼성화재,3:1
2025-01-18,Female,정관장,도로공사,3:0
2025-01-19,Male,현대캐피탈,KB손해보험,3:1
2025-01-19,Female,GS칼텍스,페퍼저축은행,3:0
2025-01-21,Male,OK금융그룹,한국전력,1:3
2025-01-21,Female,흥국생명,IBK기업은행,3:1
2025-01-22,Male,대한항공,우리카드,3:2
2025-01-22,Female,현대건설,정관장,2:3
2025-01-23,Female,페퍼저축은행,도로공사,0:3
2025-01-23,Male,KB손해보험,삼성화재,3:1
2025-01-24,Male,한국전력,현대캐피탈,0:3
2025-01-24,Female,IBK기업은행,GS칼텍스,2:3
2025-01-25,Male,OK금융그룹,대한항공,2:3
2025-01-25,Female,흥국생명,현대건설,3:0
2025-01-26,Male,우리카드,KB손해보험,0:3
2025-01-26,Female,정관장,페퍼저축은행,3:1
2025-01-28,Male,삼성화재,한국전력,3:0
2025-01-28,Female,도로공사,IBK기업은행,3:0
2025-01-29,Male,대한항공,현대캐피탈,1:3
2025-01-29,Female,현대건설,GS칼텍스,3:0
2025-01-30,Male,우리카드,OK금융그룹,3:1
2025-01-30,Female,정관장,흥국생명,2:3
2025-01-31,Female,페퍼저축은행,IBK기업은행,1:3
2025-01-31,Male,KB손해보험,한국전력,3:2
2025-02-01,Male,현대캐피탈,삼성화재,3:0
2025-02-01,Female,GS칼텍스,도로공사,3:1
2025-02-02,Male,OK금융그룹,우리카드,3:1
2025-02-02,Female,흥국생명,정관장,3:1
2025-02-04,Male,한국전력,대한항공,2:3
2025-02-04,Female,IBK기업은행,현대건설,1:3
2025-02-05,Male,KB손해보험,현대캐피탈,3:0
2025-02-05,Female,GS칼텍스,페퍼저축은행,2:3
2025-02-06,Male,삼성화재,OK금융그룹,0:3
2025-02-06,Female,도로공사,흥국생명,0:3
2025-02-07,Male,우리카드,대한항공,2:3
2025-02-07,Female,정관장,현대건설,3:1
2025-02-08,Female,GS칼텍스,IBK기업은행,3:0
2025-02-08,Male,현대캐피탈,한국전력,3:1
2025-02-09,Male,OK금융그룹,KB손해보험,0:3
2025-02-09,Female,흥국생명,페퍼저축은행,3:0
2025-02-11,Male,대한항공,삼성화재,2:3
2025-02-11,Female,현대건설,도로공사,1:3
2025-02-12,Male,우리카드,한국전력,3:1
2025-02-12,Female,정관장,IBK기업은행,3:0
2025-02-13,Male,OK금융그룹,현대캐피탈,0:3
2025-02-13,Female,흥국생명,GS칼텍스,3:1
2025-02-14,Male,대한항공,KB손해보험,0:3
2025-02-14,Female,현대건설,페퍼저축은행,3:0
2025-02-15,Male,삼성화재,우리카드,1:3
2025-02-15,Female,도로공사,정관장,2:3
2025-02-16,Female,IBK기업은행,흥국생명,0:3
2025-02-16,Male,한국전력,OK금융그룹,3:1
2025-02-18,Male,현대캐피탈,대한항공,1:3
2025-02-18,Female,GS칼텍스,현대건설,3:2
2025-02-19,Male,KB손해보험,우리카드,3:1
2025-02-19,Female,페퍼저축은행,정관장,3:0
2025-02-20,Male,한국전력,삼성화재,0:3
2025-02-20,Female,IBK기업은행,도로공사,0:3
2025-02-21,Male,대한항공,OK금융그룹,3:2
2025-02-21,Female,현대건설,흥국생명,0:3
2025-02-22,Male,우리카드,현대캐피탈,1:3
2025-02-22,Female,정관장,GS칼텍스,3:0
2025-02-23,Female,도로공사,페퍼저축은행,3:2
2025-02-23,Male,삼성화재,KB손해보험,0:3
2025-02-25,Male,OK금융그룹,한국전력,0:3
2025-02-25,Female,흥국생명,IBK기업은행,3:1
2025-02-26,Male,현대캐피탈,우리카드,2:3
2025-02-26,Female,GS칼텍스,정관장,3:1
2025-02-27,Male,삼성화재,대한항공,0:3
2025-02-27,Female,도로공사,현대건설,3:1
2025-02-28,Male,한국전력,KB손해보험,1:3
2025-02-28,Female,IBK기업은행,페퍼저축은행,3:0
2025-03-01,Male,우리카드,OK금융그룹,3:1
2025-03-01,Female,정관장,흥국생명,3:2
2025-03-02,Male,대한항공,현대캐피탈,2:3
2025-03-02,Female,현대건설,GS칼텍스,1:3
2025-03-03,Female,페퍼저축은행,도로공사,2:3
2025-03-03,Male,KB손해보험,삼성화재,2:3
2025-03-05,Female,IBK기업은행,정관장,3:0
2025-03-05,Male,한국전력,우리카드,3:2
2025-03-06,Male,OK금융그룹,대한항공,3:1
2025-03-06,Female,흥국생명,현대건설,1:3
2025-03-07,Male,현대캐피탈,KB손해보험,1:3
2025-03-07,Female,GS칼텍스,페퍼저축은행,3:2
2025-03-08,Male,삼성화재,한국전력,3:1
2025-03-08,Female,IBK기업은행,도로공사,2:3
2025-03-09,Male,대한항공,우리카드,0:3
2025-03-09,Female,현대건설,정관장,3:0
2025-03-11,Male,KB손해보험,OK금융그룹,3:1
2025-03-11,Female,페퍼저축은행,흥국생명,3:2
2025-03-12,Male,삼성화재,현대캐피탈,0:3
2025-03-12,Female,도로공사,GS칼텍스,3:2
2025-03-13,Female,현대건설,IBK기업은행,1:3
2025-03-13,Male,대한항공,한국전력,2:3
2025-03-14,Male,우리카드,KB손해보험,1:3
2025-03-14,Female,정관장,페퍼저축은행,3:0
2025-03-15,Male,OK금융그룹,삼성화재,1:3
2025-03-15,Female,흥국생명,도로공사,3:1
2025-03-16,Male,한국전력,현대캐피탈,0:3
2025-03-16,Female,IBK기업은행,GS칼텍스,1:3
2025-03-18,Male,KB손해보험,대한항공,0:3
2025-03-18,Female,페퍼저축은행,현대건설,1:3
2025-03-19,Male,우리카드,삼성화재,3:2
2025-03-19,Female,정관장,도로공사,2:3
2025-03-20,Female,GS칼텍스,흥국생명,3:0
2025-03-20,Male,현대캐피탈,OK금융그룹,3:0
2025-10-18,Female,흥국생명,정관장,3:1
2025-10-19,Female,GS칼텍스,IBK기업은행,3:1
2025-10-20,Male,한국전력,우리카드,0:3
2025-10-21,Male,삼성화재,OK금융그룹,2:3
2025-10-21,Female,페퍼저축은행,도로공사,3:2
2025-10-22,Male,현대캐피탈,KB손해보험,3:2
2025-10-22,Female,흥국생명,현대건설,1:3
2025-10-23,Male,대한항공,한국전력,3:1
2025-10-23,Female,정관장,GS칼텍스,3:2
2025-10-24,Male,우리카드,OK금융그룹,3:2
2025-10-24,Female,IBK기업은행,페퍼저축은행,3:1
2025-10-25,Male,삼성화재,현대캐피탈,1:3
2025-10-25,Female,도로공사,흥국생명,3:2
2025-10-26,Male,KB손해보험,대한항공,3:1
2025-10-26,Female,현대건설,정관장,3:1
2025-10-28,Female,IBK기업은행,도로공사,1:3
2025-10-28,Male,우리카드,삼성화재,0:3
2025-10-29,Male,한국전력,현대캐피탈,1:3
2025-10-29,Female,GS칼텍스,흥국생명,3:2
2025-10-30,Male,KB손해보험,OK금융그룹,3:0
2025-10-30,Female,페퍼저축은행,현대건설,3:0
2025-10-31,Male,대한항공,우리카드,3:1
2025-10-31,Female,정관장,IBK기업은행,3:2
2025-11-01,Male,한국전력,삼성화재,3:1
2025-11-01,Female,GS칼텍스,도로공사,2:3
2025-11-02,Male,현대캐피탈,OK금융그룹,1:3
2025-11-02,Female,흥국생명,페퍼저축은행,0:3
2025-11-04,Male,KB손해보험,우리카드,3:1
2025-11-04,Female,현대건설,IBK기업은행,3:0
2025-11-05,Female,도로공사,정관장,3:0
2025-11-05,Male,삼성화재,대한항공,1:3
2025-11-06,Male,한국전력,OK금융그룹,3:2
2025-11-06,Female,페퍼저축은행,GS칼텍스,3:2
2025-11-07,Male,현대캐피탈,우리카드,3:0
2025-11-07,Female,IBK기업은행,흥국생명,2:3
2025-11-08,Male,삼성화재,KB손해보험,3:1
2025-11-08,Female,도로공사,현대건설,3:2
2025-11-09,Male,OK금융그룹,대한항공,1:3
2025-11-09,Female,정관장,페퍼저축은행,3:0
2025-11-11,Male,KB손해보험,한국전력,3:1
2025-11-11,Female,현대건설,GS칼텍스,2:3
2025-11-12,Male,대한항공,삼성화재,3:0
2025-11-12,Female,정관장,도로공사,0:3
2025-11-13,Female,페퍼저축은행,흥국생명,3:1
2025-11-13,Male,OK금융그룹,현대캐피탈,3:2
2025-11-14,Male,우리카드,한국전력,0:3
2025-11-14,Female,IBK기업은행,GS칼텍스,1:3
2025-11-15,Male,삼성화재,KB손해보험,1:3
2025-11-15,Female,도로공사,현대건설,3:1
2025-11-16,Male,현대캐피탈,대한항공,2:3
2025-11-16,Female,흥국생명,정관장,3:0
2025-11-18,Male,OK금융그룹,KB손해보험,1:3
2025-11-18,Female,페퍼저축은행,현대건설,3:1
2025-11-19,Male,우리카드,삼성화재,3:0
2025-11-19,Female,IBK기업은행,도로공사,0:3
2025-11-20,Male,현대캐피탈,한국전력,0:3
2025-11-20,Female,흥국생명,GS칼텍스,3:1
2025-11-21,Female,정관장,페퍼저축은행,3:1
2025-11-21,Male,대한항공,OK금융그룹,3:2
2025-11-22,Male,KB손해보험,우리카드,1:3
2025-11-22,Female,IBK기업은행,현대건설,0:3
2025-11-23,Male,삼성화재,한국전력,1:3
2025-11-23,Female,도로공사,GS칼텍스,3:1
2025-11-25,Male,대한항공,KB손해보험,3:0
2025-11-25,Female,정관장,현대건설,1:3
2025-11-26,Male,우리카드,현대캐피탈,1:3
2025-11-26,Female,IBK기업은행,흥국생명,3:0
2025-11-27,Male,OK금융그룹,삼성화재,3:0
2025-11-27,Female,도로공사,페퍼저축은행,3:0
2025-11-28,Female,GS칼텍스,정관장,3:0
2025-11-28,Male,한국전력,대한항공,0:3
2025-11-29,Female,현대건설,흥국생명,0:3
2025-11-29,Male,KB손해보험,현대캐피탈,3:2
2025-11-30,Male,OK금융그룹,우리카드,3:2
2025-11-30,Female,페퍼저축은행,IBK기업은행,2:3
2025-12-02,Male,KB손해보험,한국전력,0:3
2025-12-02,Female,현대건설,GS칼텍스,3:0
2025-12-03,Male,현대캐피탈,삼성화재,3:0
2025-12-03,Female,흥국생명,도로공사,3:2
2025-12-04,Male,우리카드,대한항공,1:3
2025-12-04,Female,IBK기업은행,정관장,3:0
2025-12-05,Male,한국전력,OK금융그룹,3:2
2025-12-05,Female,GS칼텍스,페퍼저축은행,3:0
2025-12-06,Female,흥국생명,현대건설,0:3
2025-12-06,Male,현대캐피탈,KB손해보험,3:0
2025-12-07,Female,정관장,도로공사,2:3
2025-12-07,Male,대한항공,삼성화재,3:1
2025-12-09,Male,OK금융그룹,KB손해보험,3:2
2025-12-09,Female,현대건설,페퍼저축은행,3:1
2025-12-10,Male,한국전력,우리카드,1:3
2025-12-10,Female,GS칼텍스,IBK기업은행,0:3
2025-12-11,Male,삼성화재,현대캐피탈,1:3
2025-12-11,Female,도로공사,흥국생명,3:2
2025-12-12,Male,OK금융그룹,대한항공,3:0
2025-12-12,Female,페퍼저축은행,정관장,1:3
2025-12-13,Male,한국전력,KB손해보험,3:0
2025-12-13,Female,GS칼텍스,현대건설,1:3
2025-12-14,Male,삼성화재,우리카드,1:3
2025-12-14,Female,도로공사,IBK기업은행,3:2
2025-12-16,Female,정관장,흥국생명,1:3
2025-12-16,Male,대한항공,현대캐피탈,3:0
2025-12-17,Male,OK금융그룹,우리카드,3:2
2025-12-17,Female,페퍼저축은행,IBK기업은행,0:3
2025-12-18,Male,KB손해보험,삼성화재,3:0
2025-12-18,Female,현대건설,도로공사,3:1
2025-12-19,Male,대한항공,한국전력,3:0
2025-12-19,Female,정관장,GS칼텍스,1:3
2025-12-20,Male,현대캐피탈,OK금융그룹,3:0
2025-12-20,Female,흥국생명,페퍼저축은행,3:1
2025-12-21,Male,우리카드,KB손해보험,1:3
2025-12-21,Female,IBK기업은행,현대건설,2:3
2025-12-23,Male,한국전력,삼성화재,3:2
2025-12-23,Female,GS칼텍스,도로공사,2:3
2025-12-24,Female,흥국생명,IBK기업은행,3:0
2025-12-24,Male,현대캐피탈,우리카드,3:1
2025-12-25,Male,KB손해보험,대한항공,3:1
2025-12-25,Female,현대건설,정관장,3:2
2025-12-26,Male,삼성화재,OK금융그룹,3:2
2025-12-26,Female,도로공사,페퍼저축은행,3:0
2025-12-27,Male,한국전력,현대캐피탈,3:1
2025-12-27,Female,GS칼텍스,흥국생명,3:2
2025-12-28,Male,우리카드,대한항공,1:3
2025-12-28,Female,IBK기업은행,정관장,3:1
2025-12-30,Male,OK금융그룹,한국전력,3:1
2025-12-30,Female,페퍼저축은행,GS칼텍스,3:1
2025-12-31,Female,흥국생명,현대건설,2:3
2025-12-31,Male,현대캐피탈,KB손해보험,3:1
2026-01-01,Female,정관장,도로공사,3:0
2026-01-01,Male,대한항공,삼성화재,2:3
2026-01-02,Male,OK금융그룹,우리카드,2:3
2026-01-02,Female,페퍼저축은행,IBK기업은행,1:3
2026-01-03,Male,KB손해보험,한국전력,1:3
2026-01-03,Female,현대건설,GS칼텍스,1:3
2026-01-04,Male,대한항공,현대캐피탈,0:3
2026-01-04,Female,정관장,흥국생명,0:3
2026-01-06,Male,한국전력,OK금융그룹,3:1
2026-01-06,Female,GS칼텍스,페퍼저축은행,3:2
2026-01-07,Male,삼성화재,KB손해보험,1:3
2026-01-07,Female,도로공사,현대건설,3:0
2026-01-08,Female,IBK기업은행,정관장,3:1
2026-01-08,Male,우리카드,대한항공,3:0
2026-01-09,Female,페퍼저축은행,흥국생명,0:3
2026-01-09,Male,OK금융그룹,현대캐피탈,3:0
2026-01-10,Male,삼성화재,한국전력,3:2
