gdate,gnum,seasonCode,leagueCode,round,gender,hname,aname,score,hs1point,hs2point,hs3point,hs4point,hs5point,as1point,as2point,as3point,as4point,as5point,place,spectators,gstime,sptime,referee
2021-10-16,1,018,201,1,1,인천 대한항공 점보스 배구단,서울 우리카드 우리WON 프로배구단,3 : 1,25,27,19,25,0,18,25,25,22,0,인천계양체육관,0,14:00,01:47,최재효
2021-10-16,2,018,201,1,2,GS칼텍스 서울Kixx 배구단,흥국생명배구단 핑크스파이더스,3 : 0,25,27,25,0,0,21,25,22,0,0,서울장충체육관,0,16:00,01:29,남영수
2021-10-17,3,018,201,1,1,천안 현대캐피탈 스카이워커스,안산 OK금융그룹 읏맨 프로배구단,3 : 1,23,25,25,25,0,25,21,23,21,0,천안유관순체육관,0,17:00,02:05,권대진
2021-10-17,4,018,201,1,2,현대건설 힐스테이트 배구단,IBK기업은행 알토스 배구단,3 : 1,23,25,25,25,0,25,15,16,17,0,수원체육관,0,14:33,01:47,강주희
2021-10-19,5,018,201,1,1,대전 삼성화재 블루팡스 배구단,수원 한국전력 VIXTORM 프로배구단,0 : 3,20,16,18,0,0,25,25,25,0,0,대전충무체육관,329,19:00,01:20,최재효
2021-10-19,6,018,201,1,2,페퍼저축은행 AI PEPPERS 배구단,KGC인삼공사 프로배구단,1 : 3,25,20,21,17,0,16,25,25,25,0,페퍼스타디움,633,19:00,01:47,전영아
2021-10-20,7,018,201,1,1,의정부 KB손해보험 스타즈 배구단,천안 현대캐피탈 스카이워커스,3 : 2,25,23,23,25,15,22,25,25,23,11,의정부체육관,189,19:00,02:27,최성권
2021-10-20,8,018,201,1,2,한국도로공사 하이패스 배구단,현대건설 힐스테이트 배구단,0 : 3,13,23,20,0,0,25,25,25,0,0,김천실내체육관,0,19:00,01:25,강주희
2021-10-21,10,018,201,1,2,IBK기업은행 알토스 배구단,흥국생명배구단 핑크스파이더스,1 : 3,25,17,23,18,0,22,25,25,25,0,화성종합실내체육관,475,19:00,02:01,최성권
2021-10-21,9,018,201,1,1,안산 OK금융그룹 읏맨 프로배구단,서울 우리카드 우리WON 프로배구단,3 : 2,21,26,25,25,15,25,24,27,20,13,안산상록수체육관,136,19:00,02:22,남영수
2021-10-22,11,018,201,1,1,대전 삼성화재 블루팡스 배구단,인천 대한항공 점보스 배구단,3 : 0,26,25,25,0,0,24,19,23,0,0,대전충무체육관,287,19:00,01:37,권대진
2021-10-22,12,018,201,1,2,페퍼저축은행 AI PEPPERS 배구단,GS칼텍스 서울Kixx 배구단,0 : 3,19,13,16,0,0,25,25,25,0,0,페퍼스타디움,695,19:00,01:08,강주희
2021-10-23,13,018,201,1,1,수원 한국전력 VIXTORM 프로배구단,의정부 KB손해보험 스타즈 배구단,3 : 1,18,25,25,25,0,25,23,23,19,0,수원체육관,273,14:00,02:00,최재효
2021-10-23,14,018,201,1,2,KGC인삼공사 프로배구단,한국도로공사 하이패스 배구단,3 : 0,36,25,25,0,0,34,18,19,0,0,대전충무체육관,635,16:00,01:42,전영아
2021-10-24,15,018,201,1,1,서울 우리카드 우리WON 프로배구단,천안 현대캐피탈 스카이워커스,1 : 3,25,25,24,21,0,20,27,26,25,0,서울장충체육관,456,14:00,02:04,남영수
2021-10-24,16,018,201,1,2,현대건설 힐스테이트 배구단,흥국생명배구단 핑크스파이더스,3 : 1,17,26,25,25,0,25,24,18,21,0,수원체육관,712,16:00,01:55,권대진
2021-10-26,17,018,201,1,1,안산 OK금융그룹 읏맨 프로배구단,의정부 KB손해보험 스타즈 배구단,3 : 1,25,25,15,25,0,15,21,25,23,0,안산상록수체육관,130,19:00,01:56,최성권
2021-10-26,18,018,201,1,2,IBK기업은행 알토스 배구단,한국도로공사 하이패스 배구단,1 : 3,22,10,25,17,0,25,25,20,25,0,화성종합실내체육관,471,19:00,01:54,남영수
2021-10-27,19,018,201,1,1,천안 현대캐피탈 스카이워커스,인천 대한항공 점보스 배구단,3 : 2,25,16,22,25,15,21,25,25,20,10,천안유관순체육관,319,19:00,02:11,최재효
2021-10-27,20,018,201,1,2,GS칼텍스 서울Kixx 배구단,현대건설 힐스테이트 배구단,1 : 3,25,21,21,23,0,15,25,25,25,0,서울장충체육관,750,19:00,02:02,남영수
2021-10-28,21,018,201,1,1,서울 우리카드 우리WON 프로배구단,수원 한국전력 VIXTORM 프로배구단,3 : 0,25,25,25,0,0,18,23,17,0,0,서울장충체육관,249,19:00,01:23,최재효
2021-10-28,22,018,201,1,2,KGC인삼공사 프로배구단,흥국생명배구단 핑크스파이더스,3 : 1,15,25,25,25,0,25,20,15,18,0,대전충무체육관,631,19:00,01:47,강주희
2021-10-29,23,018,201,1,1,의정부 KB손해보험 스타즈 배구단,대전 삼성화재 블루팡스 배구단,2 : 3,25,22,16,25,10,14,25,25,19,15,의정부체육관,130,19:00,02:11,권대진
2021-10-29,24,018,201,1,2,한국도로공사 하이패스 배구단,페퍼저축은행 AI PEPPERS 배구단,3 : 0,25,25,25,0,0,21,19,19,0,0,김천실내체육관,727,19:00,01:23,송인석
2021-10-30,25,018,201,1,1,인천 대한항공 점보스 배구단,안산 OK금융그룹 읏맨 프로배구단,3 : 0,25,25,25,0,0,16,20,22,0,0,인천계양체육관,339,14:00,01:22,최성권
2021-10-30,26,018,201,1,2,GS칼텍스 서울Kixx 배구단,IBK기업은행 알토스 배구단,3 : 1,25,23,25,25,0,20,25,12,21,0,서울장충체육관,815,16:00,01:49,전영아
2021-10-31,27,018,201,1,1,수원 한국전력 VIXTORM 프로배구단,천안 현대캐피탈 스카이워커스,3 : 0,25,25,25,0,0,15,11,15,0,0,수원체육관,594,14:00,01:13,권대진
2021-10-31,28,018,201,1,2,KGC인삼공사 프로배구단,현대건설 힐스테이트 배구단,0 : 3,16,25,19,0,0,25,27,25,0,0,대전충무체육관,641,16:00,01:34,강주희
2021-11-02,29,018,201,1,1,대전 삼성화재 블루팡스 배구단,서울 우리카드 우리WON 프로배구단,3 : 2,25,23,11,25,15,22,25,25,22,9,대전충무체육관,400,19:00,02:09,최재효
2021-11-02,30,018,201,1,2,페퍼저축은행 AI PEPPERS 배구단,흥국생명배구단 핑크스파이더스,1 : 3,23,23,27,28,0,25,25,25,30,0,페퍼스타디움,1409,19:00,02:07,이광훈
2021-11-03,31,018,201,1,1,의정부 KB손해보험 스타즈 배구단,인천 대한항공 점보스 배구단,3 : 1,25,22,25,25,0,22,25,17,21,0,의정부체육관,352,19:00,02:06,권대진
2021-11-03,32,018,201,1,2,한국도로공사 하이패스 배구단,GS칼텍스 서울Kixx 배구단,0 : 3,21,21,20,0,0,25,25,25,0,0,김천실내체육관,798,19:00,01:30,강주희
2021-11-04,33,018,201,1,1,수원 한국전력 VIXTORM 프로배구단,안산 OK금융그룹 읏맨 프로배구단,0 : 3,14,21,22,0,0,25,25,25,0,0,수원체육관,373,19:00,01:34,남영수
2021-11-04,34,018,201,1,2,IBK기업은행 알토스 배구단,KGC인삼공사 프로배구단,1 : 3,20,14,25,18,0,25,25,23,25,0,화성종합실내체육관,1440,19:00,01:57,전영아
2021-11-05,35,018,201,1,1,천안 현대캐피탈 스카이워커스,대전 삼성화재 블루팡스 배구단,3 : 0,25,25,26,0,0,19,11,24,0,0,천안유관순체육관,728,19:00,01:18,최재효
2021-11-05,36,018,201,1,2,현대건설 힐스테이트 배구단,페퍼저축은행 AI PEPPERS 배구단,3 : 2,25,23,19,25,15,21,25,25,12,13,수원체육관,1134,19:00,02:08,송인석
2021-11-06,37,018,201,1,1,의정부 KB손해보험 스타즈 배구단,서울 우리카드 우리WON 프로배구단,3 : 0,27,25,26,0,0,25,18,24,0,0,의정부체육관,594,14:00,01:33,최성권
2021-11-06,38,018,201,1,2,한국도로공사 하이패스 배구단,흥국생명배구단 핑크스파이더스,3 : 1,29,25,25,25,0,31,21,11,23,0,김천실내체육관,1509,16:00,02:06,이광훈
2021-11-07,39,018,201,1,1,인천 대한항공 점보스 배구단,수원 한국전력 VIXTORM 프로배구단,1 : 3,26,15,25,14,0,28,25,17,25,0,인천계양체육관,865,14:00,01:54,최성권
2021-11-07,40,018,201,1,2,KGC인삼공사 프로배구단,GS칼텍스 서울Kixx 배구단,3 : 1,25,29,25,25,0,15,31,18,20,0,대전충무체육관,1555,16:00,02:03,전영아
2021-11-09,41,018,201,1,1,안산 OK금융그룹 읏맨 프로배구단,대전 삼성화재 블루팡스 배구단,3 : 1,25,25,17,25,0,21,23,25,22,0,안산상록수체육관,342,19:00,02:00,최재효
2021-11-09,42,018,201,1,2,IBK기업은행 알토스 배구단,페퍼저축은행 AI PEPPERS 배구단,1 : 3,21,21,25,23,0,25,25,22,25,0,화성종합실내체육관,1335,19:00,01:56,전영아
2021-11-10,43,018,201,2,1,인천 대한항공 점보스 배구단,천안 현대캐피탈 스카이워커스,3 : 1,19,25,25,25,0,25,22,22,21,0,인천계양체육관,626,19:00,01:51,최재효
2021-11-10,44,018,201,2,2,GS칼텍스 서울Kixx 배구단,현대건설 힐스테이트 배구단,0 : 3,20,21,10,0,0,25,25,25,0,0,서울장충체육관,1694,19:00,01:17,강주희
2021-11-11,45,018,201,2,1,의정부 KB손해보험 스타즈 배구단,서울 우리카드 우리WON 프로배구단,2 : 3,21,28,25,22,13,25,26,17,25,15,의정부체육관,359,19:00,02:22,남영수
2021-11-11,46,018,201,2,2,한국도로공사 하이패스 배구단,흥국생명배구단 핑크스파이더스,3 : 1,26,25,21,25,0,24,17,25,17,0,김천실내체육관,750,19:00,01:47,전영아
2021-11-12,47,018,201,2,1,안산 OK금융그룹 읏맨 프로배구단,수원 한국전력 VIXTORM 프로배구단,1 : 3,18,19,25,28,0,25,25,16,30,0,안산상록수체육관,455,19:00,01:57,최재효
2021-11-12,48,018,201,2,2,KGC인삼공사 프로배구단,IBK기업은행 알토스 배구단,3 : 0,25,25,25,0,0,19,16,17,0,0,대전충무체육관,1549,19:00,01:20,권대진
2021-11-13,49,018,201,2,1,대전 삼성화재 블루팡스 배구단,천안 현대캐피탈 스카이워커스,3 : 1,25,25,23,25,0,18,19,25,13,0,대전충무체육관,972,14:00,01:53,권대진
2021-11-13,50,018,201,2,2,페퍼저축은행 AI PEPPERS 배구단,현대건설 힐스테이트 배구단,0 : 3,18,17,18,0,0,25,25,25,0,0,페퍼스타디움,2422,16:00,01:18,송인석
2021-11-14,51,018,201,2,1,서울 우리카드 우리WON 프로배구단,인천 대한항공 점보스 배구단,0 : 3,11,21,20,0,0,25,25,25,0,0,서울장충체육관,993,14:00,01:22,최성권
2021-11-14,52,018,201,2,2,흥국생명배구단 핑크스파이더스,GS칼텍스 서울Kixx 배구단,0 : 3,20,15,19,0,0,25,25,25,0,0,인천삼산월드체육관,2610,16:00,01:21,전영아
2021-11-16,53,018,201,2,1,대전 삼성화재 블루팡스 배구단,안산 OK금융그룹 읏맨 프로배구단,2 : 3,25,22,20,26,12,22,25,25,24,15,대전충무체육관,462,19:00,02:30,권대진
2021-11-16,54,018,201,2,2,페퍼저축은행 AI PEPPERS 배구단,IBK기업은행 알토스 배구단,2 : 3,21,27,25,14,9,25,25,19,25,15,페퍼스타디움,2138,19:00,02:13,남영수
